234 -0.27362606 -0.029734876 9.9727545 117 92 43
235 -0.24800996 -0.058424905 9.999395 114 85 32
236 -0.27362606 -0.041005958 10.023987 115 90 49
237 -0.25928104 -0.052277043 10.040381 97 74 39
238 -0.3002668 -0.021537725 10.051653 154 121 54
239 -0.2674782 -0.047153823 10.092638 59 41 19
240 -0.29719287 -0.029734876 10.102884 151 115 44
241 -0.28797108 -0.029734876 10.13055 145 105 33
242 -0.24493603 -0.026660945 9.949188 61 39 20
243 -0.27260143 -0.04920311 10.077269 141 105 38
244 -0.23264031 -0.07276992 10.014766 16 10 9
245 -0.30436537 -0.016414506 10.104934 131 99 39
246 -0.24698532 -0.037932027 10.120303 13 11 11
247 -0.23878817 -0.0512524 9.980952 63 51 37
248 -0.23366494 -0.01743915 9.92972 103 77 35
249 -0.23571424 -0.06969599 10.000421 75 56 35
250 -0.28284785 -0.027685588 10.028086 124 93 39
251 -0.3023161 -0.031784166 10.084441 168 137 66
252 -0.26133034 -0.052277043 10.023987 113 90 56
253 -0.25313318 -0.036907382 9.967631 114 88 39
254 -0.3002668 -0.0041187797 9.949188 93 63 31
255 -0.24800996 -0.0030941358 9.917424 101 75 54
256 -0.27977392 -0.050227754 10.04448 155 132 79
257 -0.2254678 -0.124002114 10.11518 98 46 5
258 -0.2767 -0.047153823 10.061899 174 144 60
259 -0.27157676 -0.029734876 9.991199 74 56 31
260 -0.27567536 -0.039981317 10.026036 138 113 66
261 -0.2787493 -0.047153823 10.060874 168 137 53
262 -0.2930943 -0.027685588 10.118255 141 103 34
263 -0.22956638 -0.05740026 9.979927 40 28 17
264 -0.2398128 -0.066622056 9.998371 75 59 42
265 -0.29514357 -0.010266643 10.032185 178 149 73
266 -0.291045 -0.032808807 10.046529 143 106 41
267 -0.30129144 -0.01743915 10.050628 154 122 53
268 -0.3002668 -0.026660945 10.10186 145 110 41
269 -0.26440427 -0.04920311 10.022963 130 108 71
270 -0.23264031 -0.0676467 10.030135 15 5 5
271 -0.30846396 -0.0051434236 10.053701 144 113 57
272 -0.2562071 -0.010266643 9.9368925 59 38 23
273 -0.30129144 -0.002069492 9.949188 74 48 28
274 -0.29002038 -0.016414506 9.962508 148 121 55
275 -0.2674782 -0.04612918 10.090589 57 36 18
276 -0.23673888 -0.04920311 10.119279 2 2 6
277 -0.28592178 -0.037932027 10.116205 148 111 40
278 -0.2510839 -0.002069492 9.917424 106 87 61
279 -0.2603057 -0.0512524 10.037308 115 89 43
280 -0.26440427 -0.042030603 10.108007 17 10 10
281 -0.24800996 -0.023587013 9.949188 73 49 21
282 -0.27567536 -0.028710233 9.975829 94 60 29
283 -0.24698532 -0.047153823 10.086491 13 9 7
284 -0.23878817 -0.014365219 9.930744 100 73 39
285 -0.28079855 -0.008217355 9.94099 94 61 34
286 -0.2582564 -0.04920311 10.055751 36 21 4
287 -0.2254678 -0.07994243 10.012716 6 5 3
288 -0.22854173 -0.0030941358 9.911276 145 119 62
289 -0.2510839 -0.05432633 10.000421 88 65 24
290 -0.24391139 -0.044079892 9.968657 120 94 55
291 -0.30641466 -0.028710233 10.069072 140 111 57
292 -0.28079855 -0.047153823 10.045505 196 170 94
